ticker,COVID_Crash_2020,Crypto_Crash_2021,FTX_Collapse_2022,Russia_Ukraine_2022,US_Elections_2020
AAPL,-0.3131711267869669,-0.009134286693768,-0.1533823121177745,-0.0484418718734631,0.0123445630617438
AMZN,-0.185250240830317,-0.0707483663660526,0.3713102587387147,0.1081276743070414,-0.1377646544306752
AUDUSD=X,0.0983949933974059,-0.0132048468264682,-0.0543203235715765,-0.051339293818938,0.0076793496361389
AXISBANK.NS,0.3188481970501788,-0.0307555815724954,0.228894773446753,-0.0712142405562431,0.2705175068345069
BAC,-0.6561512487719003,0.0142261382460977,-0.0611559123565353,-0.0571792765289265,-0.0356460259955968
BHARTIARTL.NS,-0.0408926172648432,-0.0350809636480883,0.0513623308406483,-0.0523426891809549,-0.0929473154152852
BRK-B,-0.0097079060310353,0.0415821171350905,-0.0902260326481344,0.0261628658107493,-0.003513804882281
BTC-USD,-0.1323916403299372,-0.3732432872892488,-0.1455320626994566,-0.2812840640514606,0.3909562353479452
BZ=F,-0.291301037424045,0.0945024288155076,-0.0247131233928827,0.4648162862721425,0.0287301927105445
CL=F,-4.891014203752343e+121,inf,inf,-inf,inf
CVX,-0.8627564010418455,-0.0378569398024917,-0.0698714896350881,0.0320422227906855,-0.139384827252313
DIS,-0.1883783863736532,-0.019299582945607,-0.1603991589618306,-0.0287565562948642,0.295640918679128
EURUSD=X,-0.0370303504223268,-0.0117937664649137,0.0043659350532854,-0.0038178553246767,0.00681088806989
GBPUSD=X,-0.0601864904608006,-0.0094574084520265,-0.0392368077510825,0.0194276225945291,-0.0078725463956836
GC=F,-0.1272142264974392,-0.0038543059879548,-0.0509009628356261,-0.0009985499879425,-0.0743670991272437
GLD,-0.1411208917272822,0.0058275813833099,-0.0550091795865471,-0.0028514168943194,-0.057755613842471
GOOG,-0.3827128547834948,0.0852354206969168,-0.1070358278431183,-0.1070364628618347,-0.0121527829191857
HDFCBANK.NS,-0.0668928593177923,-0.0448887225581053,0.0393671529610817,-0.0804901691032151,0.2858313271471699
HINDUNILVR.NS,-0.3621015127408329,-0.0031578369674387,-0.0816913450252178,0.1279256989770205,-0.0315335218469199
ICICIBANK.NS,0.5139651167432682,0.0141711040901362,-0.0107671221183379,0.0237031721099816,0.1812643421047508
INFY.NS,-0.2795546814344862,0.1234865533368467,-0.0364317764423581,-0.0465378187978192,0.2603546079197931
ITC.NS,0.0694428666458744,-0.0385638081208351,0.0079732122164637,0.0071218242976185,0.1001883609074427
JNJ,-0.4458698281175138,-0.0140409350637559,-0.0243226674321878,-0.0730436716276485,-0.0383174902557404
JPM,0.880445585743409,-0.0100347438346763,-0.0552230608149793,0.062338780690174,0.0133839400993647
KO,-0.1700879455285637,-0.009997743641036,-0.0078684316483599,-0.0746105220464969,-0.0071920861009528
LT.NS,-0.0156776143336011,0.0001448136847943,0.1149245449600682,-0.0410796132554521,0.3781280612525275
MA,-0.1162940796700106,-0.0683952614906096,-0.1431191879519335,-0.0499021882845661,-0.0802702447245435
MARUTI.NS,-0.1791515691441796,-0.0477691717601851,-0.0295032787856668,-0.1382380875062749,0.0471120589403744
META,0.3765354385853752,0.0443255256730104,-0.3248446316449288,0.1036529168929838,-0.130312583669556
MSFT,-0.2585382459922183,0.0183530917930585,-0.2147889020042463,-0.0180911174703258,-0.0866642651694096
NFLX,-0.1546365361484957,-0.0048225410115371,0.0201481837367105,-0.056245439402938,-0.1115686561823573
NG=F,-0.0103843539184292,0.2661430522065873,-0.1854002642226762,-0.1697223055913811,-0.1474083861894171
NVDA,-0.3510940627699485,0.3936515383638455,-0.194416038941149,-0.1572081624811275,-0.1132773231430879
NZDUSD=X,0.1224060543993188,-0.0273198434789546,0.0055173294283843,-0.0604798733304283,0.0454996488108903
PFE,0.0597560082591341,0.0035115116695894,0.0040247236814441,0.0193647326581736,0.0136918354667592
PG,-0.4937543583013175,-0.0420311923522187,-0.0207838919608099,-0.092009148831899,-0.0588270031077202
RELIANCE.NS,-0.1316173091243774,0.0138290368113598,-0.0624359097240495,-0.0784500827745546,-0.0643031753651954
SI=F,0.0269555397904319,-0.0599592679698776,0.0294103585836806,0.0594225610608392,-0.1172496175602767
SUNPHARMA.NS,0.2868913158435529,0.0142279423686921,0.0367869237084366,0.0133487057710333,-0.0144218653899363
TCS.NS,-0.0229812325285118,0.0207071556928095,-0.0633652864766074,-0.0593553810723369,0.0814691751798599
TSLA,-0.7745663223934656,-0.0099462596291932,0.1935672086126265,-0.065428148104573,0.0978151796822008
USDCAD=X,0.0641868603843895,0.0022524894849422,-0.070315422260469,-0.0176195121280142,0.0041987322187726
USDCHF=X,-0.0252379845961139,-0.0059385416837588,0.0059081974661241,-0.0125139667493512,0.0011804972578881
USDINR=X,-0.0393870692157075,0.0012243151815425,0.0105764316453289,-0.0097457892357556,-0.0226695401144458
USDJPY=X,-0.0626883616592359,0.000491286454042,-0.0261684677856166,0.0126226418917396,-0.0172763821610513
V,-0.0865885517260167,-0.0567046219084719,-0.1550227949333725,-0.030326846315871,-0.0349431463193479
XOM,0.1830923847042618,-0.0097275197422123,0.04014606300487,-0.050809198859089,-0.1247933038329924
ZC=F,0.0228889329072021,-0.3273502186929776,-0.016900395417616,0.000816524883497,0.2140665995699457
