ticker,event,n_days_pre,pre_avg_daily_ret,event_total_ret,post_avg_daily_ret
BTC-USD,COVID_Crash_2020,20,0.0037736191891144,-0.1323916403299372,-0.0019376383912018
BTC-USD,Crypto_Crash_2021,20,-0.0042622354949611,-0.3732432872892488,0.0024644452685919
BTC-USD,FTX_Collapse_2022,20,-0.0016652210765773,-0.1455320626994566,-0.0003752148810082
BTC-USD,Russia_Ukraine_2022,20,0.0028296060684841,-0.2812840640514606,0.0009598228813025
BTC-USD,US_Elections_2020,20,-0.0014712123307311,0.3909562353479452,0.0440456445355701
NVDA,COVID_Crash_2020,20,-0.0012749127346171,-0.3510940627699485,0.0067180375895252
NVDA,Crypto_Crash_2021,20,0.004539125567533,0.3936515383638455,-0.001344343751582
NVDA,FTX_Collapse_2022,20,0.0071175424886354,-0.194416038941149,-0.0008616160080172
NVDA,Russia_Ukraine_2022,20,0.0015339612379538,-0.1572081624811275,-0.0004202226387098
NVDA,US_Elections_2020,20,-0.0046667391246206,-0.1132773231430879,-0.0018763606453088
GLD,COVID_Crash_2020,20,0.0029720403195837,-0.1411208917272822,0.0021471183547027
GLD,Crypto_Crash_2021,20,-0.000838600463167,0.0058275813833099,-0.0006735434834106
GLD,FTX_Collapse_2022,20,0.0001790163613184,-0.0550091795865471,0.0031275516334296
GLD,Russia_Ukraine_2022,20,-0.0012242514784415,-0.0028514168943194,0.0007979374225479
GLD,US_Elections_2020,20,-0.0020614503562226,-0.057755613842471,-0.0011036365501073
JPM,COVID_Crash_2020,20,-0.0041941750456179,0.880445585743409,-0.0205419379284414
JPM,Crypto_Crash_2021,20,-0.001234592775879,-0.0100347438346763,-0.0022648295915298
JPM,FTX_Collapse_2022,20,0.0018846614954475,-0.0552230608149793,0.0042279278209543
JPM,Russia_Ukraine_2022,20,-0.0024497020050697,0.062338780690174,-0.0023826051751194
JPM,US_Elections_2020,20,-0.00152113426557,0.0133839400993647,0.0112503571430121
GC=F,COVID_Crash_2020,20,0.0021807074765129,-0.1272142264974392,0.0017654025665361
GC=F,Crypto_Crash_2021,20,-0.0008964650529411,-0.0038543059879548,-0.0005904341090846
GC=F,FTX_Collapse_2022,20,0.0002680614071461,-0.0509009628356261,0.0035106567038623
GC=F,Russia_Ukraine_2022,20,-0.0015898126141634,-0.0009985499879425,9.70919213795548e-05
GC=F,US_Elections_2020,20,-0.0024186226836012,-0.0743670991272437,-0.0018068194197098
USDJPY=X,COVID_Crash_2020,20,-0.0003953675020346,-0.0626883616592359,-7.331612619880642e-05
USDJPY=X,Crypto_Crash_2021,20,-0.0018153136195322,0.000491286454042,-0.0008039894707622
USDJPY=X,FTX_Collapse_2022,20,0.0006974115914376,-0.0261684677856166,-0.000373613967067
USDJPY=X,Russia_Ukraine_2022,20,-0.0003956281806018,0.0126226418917396,0.0078368845422432
USDJPY=X,US_Elections_2020,20,-7.445544737266195e-05,-0.0172763821610513,-0.0001839962667315
