ticker,status,rows,n_trades,win_rate,avg_trade,median_trade,avg_hold_bars,total_return,cagr,ann_ret,ann_vol,sharpe,bootstrap_pval,max_drawdown
BTC-USD,ok,2876.0,2349.0,0.49127288207747977,0.0019524543166325326,-4.1246399466343675e-05,1.0,13.470137829504369,(0.26381231875776523+0j),0.3978775187918097,0.5694286677267845,0.6987310989806258,0.497,-0.7444342582955501
NVDA,ok,1980.0,1518.0,0.5250329380764164,0.0018176838636471708,0.0006846804777753679,1.0,4.372871262768869,(0.23861223149032695+0j),0.3460681380393126,0.5184016477028554,0.6675675889010227,0.4925,-0.6510421088681144
GLD,ok,1980.0,1738.0,0.5264672036823935,0.0002783774663255352,8.391096851712021e-05,1.0,0.3514297181299506,(0.03907391163293883+0j),0.05949277928324559,0.20228019418029658,0.29411074833267375,0.5705,-0.3817603120824754
JPM,ok,1980.0,1660.0,0.516867469879518,0.00046763593706642857,0.00012422079780383122,1.0,0.2570242209336189,(0.02954121407092325+0j),0.09596290393524143,0.3667281660191618,0.26167312147555993,0.5715,-0.7573660923812224
GC=F,ok,1981.0,1724.0,0.5162412993039444,0.00023451993255236222,8.342659551874299e-05,1.0,0.23187930279554037,(0.0268831741346518+0j),0.04912668107246481,0.20988432341259233,0.23406550938962303,0.5865,-0.4140635811726668
USDJPY=X,ok,2051.0,1871.0,0.5093532870122929,7.162389307144739e-05,2.287491555685861e-05,1.0,0.09417188738246551,(0.011119114292823085+0j),0.01562078336570309,0.09567373553854124,0.16327138558743126,0.6655,-0.2163315271612746
PFE,ok,1980.0,1680.0,0.4845238095238095,0.00011471503231196509,-4.619367167651989e-05,1.0,-0.07107653915737844,(-0.009339792937328562+0j),0.02193681614484136,0.25066767416477587,0.08751354245390748,0.826,-0.5095739806836935
SUNPHARMA.NS,ok,1945.0,1623.0,0.5021565003080715,0.00011341853087267785,1.3021430129711575e-05,1.0,-0.09607640686966123,(-0.013001948992128143+0j),0.020947196379266248,0.2618538991762103,0.07999573978148086,0.83,-0.4900867712997793
ITC.NS,ok,1945.0,1650.0,0.48787878787878786,0.00013505437849565649,-5.8447425879459836e-05,1.0,-0.10871554293808616,(-0.014800989326296365+0j),0.026235453475799076,0.2855668882802505,0.09187148283820654,0.797,-0.6171373055759563
LT.NS,ok,1945.0,1649.0,0.509399636143117,0.00024008266385927086,4.7390469253283385e-05,1.0,-0.12596689252078375,(-0.017292708984034344+0j),0.04850245728254524,0.3660054658880697,0.1325183960432385,0.737,-0.6659068703350737
BRK-B,ok,1980.0,1701.0,0.5191064079952968,5.084505378994728e-05,0.00012345019959414394,1.0,-0.1456506158031775,(-0.01983528334362572+0j),0.00846926155734792,0.2354766783304646,0.035966455860491964,0.9245,-0.4992647578783473
NZDUSD=X,ok,2052.0,1849.0,0.5008112493239589,-5.820643575096348e-05,1.7968824610470335e-06,1.0,-0.15683480935539496,(-0.020732016416518007+0j),-0.014311147124952354,0.11525737374891976,-0.12416686810969857,0.7395,-0.3634891959293315
TSLA,ok,1980.0,1530.0,0.5045751633986928,0.0012733341886136445,4.4394885542864415e-05,1.0,-0.19706255555269703,(-0.02754708732265765+0j),0.24330517313302993,0.698372428944862,0.34838885822086113,0.536,-0.884634686127844
EURUSD=X,ok,2051.0,1882.0,0.47502656748140276,-0.00013730950562167857,-5.301645450062065e-05,1.0,-0.24775434827894338,(-0.0343745608289272+0j),-0.03226521622149228,0.07361606715165905,-0.43829040955178405,0.503,-0.2598860860291901
AAPL,ok,1980.0,1643.0,0.5295191722458916,0.00013099731876194175,0.00028202095204710176,1.0,-0.24291839475727828,(-0.03479811567893021+0j),0.02414359352543866,0.33066922626168543,0.07301433459166796,0.8535,-0.6749203321601563
GBPUSD=X,ok,2051.0,1865.0,0.48954423592493296,-0.0001330187686998205,-1.6139312475793588e-05,1.0,-0.2505634234527535,(-0.034818332513840144+0j),-0.03130314309293143,0.09105974906496925,-0.34376487322183685,0.527,-0.2995546821318018
USDCHF=X,ok,2051.0,1874.0,0.49092849519743864,-0.00013684006808562072,-2.7413357649830328e-05,1.0,-0.25403524295214897,(-0.03536882350475856+0j),-0.032257030990884145,0.08659840624145837,-0.3724898920303838,0.5295,-0.3069392417433818
USDINR=X,ok,2051.0,1874.0,0.4615795090715048,-0.00016042175502285001,-3.847807241530443e-05,1.0,-0.28798450247905916,(-0.040873619227702385+0j),-0.03774065617234574,0.08911849241746063,-0.42348849434700897,0.498,-0.3919521521518815
