Date,position_inr,pnl_inr,cost_inr,capital_inr,strategy_ret,equity
2018-01-01,0.0,0.0,0.0,100000.0,0.0,1.0
2018-01-02,0.0,-0.0,0.0,100000.0,-0.0,1.0
2018-01-03,0.0,-0.0,0.0,100000.0,-0.0,1.0
2018-01-04,0.0,-0.0,0.0,100000.0,-0.0,1.0
2018-01-05,0.0,-0.0,0.0,100000.0,-0.0,1.0
2018-01-08,0.0,0.0,0.0,100000.0,0.0,1.0
2018-01-09,0.0,0.0,0.0,100000.0,0.0,1.0
2018-01-10,0.0,0.0,0.0,100000.0,0.0,1.0
2018-01-11,0.0,0.0,0.0,100000.0,0.0,1.0
2018-01-12,0.0,0.0,0.0,100000.0,0.0,1.0
2018-01-15,0.0,0.0,0.0,100000.0,0.0,1.0
2018-01-16,0.0,0.0,0.0,100000.0,0.0,1.0
2018-01-17,0.0,0.0,0.0,100000.0,0.0,1.0
2018-01-18,0.0,0.0,0.0,100000.0,0.0,1.0
2018-01-19,0.0,-0.0,0.0,100000.0,-0.0,1.0
2018-01-22,0.0,0.0,0.0,100000.0,0.0,1.0
2018-01-23,0.0,0.0,0.0,100000.0,0.0,1.0
2018-01-24,0.0,0.0,0.0,100000.0,0.0,1.0
2018-01-25,0.0,-0.0,0.0,100000.0,-0.0,1.0
2018-01-29,0.0,0.0,0.0,100000.0,0.0,1.0
2018-01-30,0.0,-0.0,0.0,100000.0,-0.0,1.0
2018-01-31,0.0,-0.0,0.0,100000.0,-0.0,1.0
2018-02-01,0.0,-0.0,0.0,100000.0,-0.0,1.0
2018-02-02,0.0,-0.0,0.0,100000.0,-0.0,1.0
2018-02-05,0.0,-0.0,0.0,100000.0,-0.0,1.0
2018-02-06,0.0,-0.0,0.0,100000.0,-0.0,1.0
2018-02-07,0.0,0.0,0.0,100000.0,0.0,1.0
2018-02-08,0.0,0.0,0.0,100000.0,0.0,1.0
2018-02-09,0.0,-0.0,0.0,100000.0,-0.0,1.0
2018-02-12,0.0,-0.0,0.0,100000.0,-0.0,1.0
2018-02-14,0.0,-0.0,0.0,100000.0,-0.0,1.0
2018-02-15,0.0,0.0,0.0,100000.0,0.0,1.0
2018-02-16,0.0,0.0,0.0,100000.0,0.0,1.0
2018-02-19,0.0,0.0,0.0,100000.0,0.0,1.0
2018-02-20,0.0,0.0,0.0,100000.0,0.0,1.0
2018-02-21,0.0,0.0,0.0,100000.0,0.0,1.0
2018-02-22,0.0,0.0,0.0,100000.0,0.0,1.0
2018-02-23,0.0,-0.0,0.0,100000.0,-0.0,1.0
2018-02-26,0.0,-0.0,0.0,100000.0,-0.0,1.0
2018-02-27,0.0,0.0,0.0,100000.0,0.0,1.0
2018-02-28,0.0,0.0,0.0,100000.0,0.0,1.0
2018-03-01,0.0,-0.0,0.0,100000.0,-0.0,1.0
2018-03-05,0.0,-0.0,0.0,100000.0,-0.0,1.0
2018-03-06,0.0,-0.0,0.0,100000.0,-0.0,1.0
2018-03-07,0.0,-0.0,0.0,100000.0,-0.0,1.0
2018-03-08,0.0,0.0,0.0,100000.0,0.0,1.0
2018-03-09,0.0,0.0,0.0,100000.0,0.0,1.0
2018-03-12,0.0,0.0,0.0,100000.0,0.0,1.0
2018-03-13,0.0,-0.0,0.0,100000.0,-0.0,1.0
2018-03-14,0.0,-0.0,0.0,100000.0,-0.0,1.0
2018-03-15,0.0,0.0,0.0,100000.0,0.0,1.0
2018-03-16,0.0,-0.0,0.0,100000.0,-0.0,1.0
2018-03-19,0.0,-0.0,0.0,100000.0,-0.0,1.0
2018-03-20,0.0,0.0,0.0,100000.0,0.0,1.0
2018-03-21,0.0,0.0,0.0,100000.0,0.0,1.0
2018-03-22,0.0,-0.0,0.0,100000.0,-0.0,1.0
2018-03-23,0.0,0.0,0.0,100000.0,0.0,1.0
2018-03-26,0.0,-0.0,0.0,100000.0,-0.0,1.0
2018-03-27,0.0,-0.0,0.0,100000.0,-0.0,1.0
2018-03-28,0.0,-0.0,0.0,100000.0,-0.0,1.0
2018-04-02,0.0,0.0,0.0,100000.0,0.0,1.0
2018-04-03,0.0,0.0,0.0,100000.0,0.0,1.0
2018-04-04,0.0,-0.0,0.0,100000.0,-0.0,1.0
2018-04-05,0.0,0.0,0.0,100000.0,0.0,1.0
2018-04-06,0.0,-0.0,0.0,100000.0,-0.0,1.0
2018-04-09,0.0,-0.0,0.0,100000.0,-0.0,1.0
2018-04-10,0.0,0.0,0.0,100000.0,0.0,1.0
2018-04-11,0.0,0.0,0.0,100000.0,0.0,1.0
2018-04-12,0.0,0.0,0.0,100000.0,0.0,1.0
2018-04-13,0.0,0.0,0.0,100000.0,0.0,1.0
2018-04-16,0.0,-0.0,0.0,100000.0,-0.0,1.0
2018-04-17,0.0,-0.0,0.0,100000.0,-0.0,1.0
2018-04-18,0.0,0.0,0.0,100000.0,0.0,1.0
2018-04-19,0.0,0.0,0.0,100000.0,0.0,1.0
2018-04-20,0.0,0.0,0.0,100000.0,0.0,1.0
2018-04-23,0.0,0.0,0.0,100000.0,0.0,1.0
2018-04-24,0.0,-0.0,0.0,100000.0,-0.0,1.0
2018-04-25,0.0,0.0,0.0,100000.0,0.0,1.0
2018-04-26,0.0,0.0,0.0,100000.0,0.0,1.0
2018-04-27,0.0,0.0,0.0,100000.0,0.0,1.0
2018-04-30,0.0,0.0,0.0,100000.0,0.0,1.0
2018-05-02,0.0,-0.0,0.0,100000.0,-0.0,1.0
2018-05-03,0.0,-0.0,0.0,100000.0,-0.0,1.0
2018-05-04,0.0,-0.0,0.0,100000.0,-0.0,1.0
2018-05-07,0.0,0.0,0.0,100000.0,0.0,1.0
2018-05-08,0.0,-0.0,0.0,100000.0,-0.0,1.0
2018-05-09,0.0,0.0,0.0,100000.0,0.0,1.0
2018-05-10,0.0,-0.0,0.0,100000.0,-0.0,1.0
2018-05-11,0.0,0.0,0.0,100000.0,0.0,1.0
2018-05-14,0.0,0.0,0.0,100000.0,0.0,1.0
2018-05-15,0.0,0.0,0.0,100000.0,0.0,1.0
2018-05-16,0.0,-0.0,0.0,100000.0,-0.0,1.0
2018-05-17,0.0,-0.0,0.0,100000.0,-0.0,1.0
2018-05-18,0.0,0.0,0.0,100000.0,0.0,1.0
2018-05-21,0.0,-0.0,0.0,100000.0,-0.0,1.0
2018-05-22,0.0,0.0,0.0,100000.0,0.0,1.0
2018-05-23,0.0,-0.0,0.0,100000.0,-0.0,1.0
2018-05-24,0.0,0.0,0.0,100000.0,0.0,1.0
2018-05-25,0.0,0.0,0.0,100000.0,0.0,1.0
2018-05-28,0.0,-0.0,0.0,100000.0,-0.0,1.0
2018-05-29,0.0,0.0,0.0,100000.0,0.0,1.0
2018-05-30,0.0,-0.0,0.0,100000.0,-0.0,1.0
2018-05-31,0.0,0.0,0.0,100000.0,0.0,1.0
2018-06-01,0.0,-0.0,0.0,100000.0,-0.0,1.0
2018-06-04,0.0,0.0,0.0,100000.0,0.0,1.0
2018-06-05,0.0,-0.0,0.0,100000.0,-0.0,1.0
2018-06-06,0.0,0.0,0.0,100000.0,0.0,1.0
2018-06-07,0.0,0.0,0.0,100000.0,0.0,1.0
2018-06-08,0.0,0.0,0.0,100000.0,0.0,1.0
2018-06-11,0.0,0.0,0.0,100000.0,0.0,1.0
2018-06-12,0.0,-0.0,0.0,100000.0,-0.0,1.0
2018-06-13,0.0,0.0,0.0,100000.0,0.0,1.0
2018-06-14,0.0,-0.0,0.0,100000.0,-0.0,1.0
2018-06-15,0.0,0.0,0.0,100000.0,0.0,1.0
2018-06-18,0.0,-0.0,0.0,100000.0,-0.0,1.0
2018-06-19,0.0,-0.0,0.0,100000.0,-0.0,1.0
2018-06-20,0.0,0.0,0.0,100000.0,0.0,1.0
2018-06-21,0.0,0.0,0.0,100000.0,0.0,1.0
2018-06-22,0.0,0.0,0.0,100000.0,0.0,1.0
2018-06-25,0.0,0.0,0.0,100000.0,0.0,1.0
2018-06-26,0.0,0.0,0.0,100000.0,0.0,1.0
2018-06-27,0.0,-0.0,0.0,100000.0,-0.0,1.0
2018-06-28,0.0,0.0,0.0,100000.0,0.0,1.0
2018-06-29,0.0,0.0,0.0,100000.0,0.0,1.0
2018-07-02,0.0,0.0,0.0,100000.0,0.0,1.0
2018-07-03,78899.49945710815,1126.1165177991945,7.889949945710815,101118.22656785349,0.011182265678534836,1.011182265678535
2018-07-04,105072.01795363677,-663.6120907714476,2.617251849652862,100451.9972252324,-0.0065886177520532345,1.004519972252324
2018-07-05,88805.71266581934,-4040.2181467402797,1.6266305287817422,96410.15244796332,-0.04023657954959801,0.9641015244796333
2018-07-06,0.0,0.0,8.880571266581935,96401.27187669674,-9.211240767796897e-05,0.9640127187669675
2018-07-09,8230.75219714672,93.57184818872751,0.823075219714672,96494.02064966576,0.0009621115070726901,0.9649402064966577
2018-07-10,27086.35669952311,53.175308382361884,1.8855604502376389,96545.31039759789,0.0005315329135091015,0.9654531039759788
2018-07-11,29604.9758155391,433.3612163797675,0.2518619116015991,96978.41975206605,0.004486073457990994,0.9697841975206605
2018-07-12,53870.94096633373,-1064.8007731784921,2.426596515079463,95911.19238237248,-0.011004792328252338,0.9591119238237248
2018-07-13,18541.151790509997,330.1793140329104,3.532978917582373,96237.8387174878,0.003405716548836925,0.962378387174878
2018-07-16,47735.22630587411,559.823198998683,2.9194074515364115,96794.74250903494,0.005786744579561606,0.9679474250903495
2018-07-17,66253.52823938255,-246.04700730904327,1.851830193350844,96546.84367153255,-0.0025610775035560937,0.9654684367153256
2018-07-18,57704.566713479486,-232.4953832975224,0.8548961525903062,96313.49339208244,-0.002416964351978267,0.9631349339208244
2018-07-19,48817.33617099747,-215.9344923460537,0.8887230542482015,96096.67017668214,-0.0022512236631022885,0.9609667017668213
2018-07-20,39450.345750590415,940.799097554341,0.9366990420407055,97036.53257519443,0.009780384656245436,0.9703653257519443
2018-07-23,79482.5875409318,462.8072721688819,4.003224179034138,97495.33662318428,0.004728157899029591,0.9749533662318428
2018-07-24,87495.16723599078,1367.9789591159151,0.8012579695058987,98862.5143243307,0.014023006109825523,0.988625143243307
2018-07-25,113322.26310543493,543.103511372159,2.582709586944415,99403.03512611591,0.005467398897138802,0.9940303512611591
2018-07-26,118935.51801762094,-902.4840401897437,0.5613254912186006,98499.98976043495,-0.009084686041379308,0.9849998976043496
2018-07-27,100686.68735847977,14.65559011659177,1.8248830659141169,98512.82046748562,0.00013026099882734642,0.9851282046748563
2018-07-30,97847.70568176957,-1599.4016741218127,0.2838981676710202,96913.13489519614,-0.016238349127537806,0.9691313489519614
2018-07-31,64083.12721504863,668.8277152348231,3.376457846672094,97578.58615258429,0.006866471279747412,0.9757858615258429
2018-08-01,81448.43199241495,-659.2985237076932,1.7365304777366313,96917.55109839886,-0.006774386474013519,0.9691755109839887
2018-08-02,63644.84910675685,-18.79054844261193,1.78035828856581,96896.98019166768,-0.00021225161488338084,0.9689698019166768
2018-08-03,61103.524757188185,471.70166327742896,0.2541324349568662,97368.42772251015,0.004865451223659626,0.9736842772251015
2018-08-06,74005.35121559202,-187.16715585724774,1.2901826458403833,97179.97038400707,-0.001935507668257434,0.9717997038400707
2018-08-07,66748.81000518725,358.10394172579936,0.7256541210404772,97537.34867161184,0.00367748915946956,0.9753734867161183
2018-08-08,75301.06081762783,-286.24170655917777,0.8552250812440587,97250.25173997141,-0.0029434563841489896,0.9725025173997142
2018-08-09,65296.29900630959,824.143207619422,1.0004761811318241,98073.3944714097,0.008464170700958354,0.980733944714097
2018-08-10,88719.18328725058,353.6202767288705,2.3422884280940983,98424.67245971049,0.003581786785234407,0.9842467245971049
2018-08-13,94260.06436168886,1585.2104283107337,0.554088107443828,100009.32879991378,0.016100194195230455,1.0000932879991378
2018-08-14,126455.77779514054,-40.384188179274275,3.219571343345169,99965.72504039116,-0.00043599692194571586,0.9996572504039116
2018-08-16,121862.49996939198,1838.7821389010985,0.4593277825748563,101804.04785150968,0.018389531115547347,1.0180404785150967
2018-08-17,151029.60049722472,84.56422156787994,2.916710052783274,101885.69536302477,0.0008020065335141377,1.0188569536302476
